,tau (bps),ProbLTTrade,PSmallTrade,X,Y,Vbh,Vlp,IL,Phi,ArbTrades,LargeTrades,SmallTrades
0,1.0,1,1,42.3784857700506,1721056.38,3948769.15,3441940.74,506828.41,551586.69,169411,0,53195
0,5.0,1,1,42.852633406207914,1741008.58,3948769.15,3481146.89,467622.26,523764.54,132407,0,97265
0,10.0,1,1,43.99753308212245,1788417.81,3948769.15,3575047.63,373721.52,483139.24,113939,0,106470
0,15.0,1,1,45.90334944719973,1861224.23,3948769.15,3725244.49,223524.66,425975.8,109612,0,107941
0,30.0,1,1,56.30308580737402,2293205.63,3948769.15,4579533.19,-630764.04,135946.91,112015,0,109525
0,1.0,1,0,42.39004066422313,1721525.65,3948769.15,3442879.22,505889.93,551303.61,209217,54378,0
0,5.0,1,0,43.38109105649195,1762478.61,3948769.15,3524076.27,424692.88,511367.21,205833,98344,0
0,10.0,1,0,46.44894626144612,1888063.19,3948769.15,3774238.78,174530.37,426655.61,204085,108288,0
0,15.0,1,0,51.874882121717704,2109673.06,3948769.15,4216182.33,-267413.18,287607.63,202227,110438,0
0,30.0,1,0,92.14058774385703,3752854.96,3948769.15,7494453.88,-3545684.72,-651793.01,201394,110518,0
0,1.0,0,0,42.37263127802943,1720818.62,3948769.15,3441465.25,507303.9,551689.97,149253,0,0
0,5.0,0,0,42.55874570826922,1729068.56,3948769.15,3457272.83,491496.32,528582.94,89158,0,0
0,10.0,0,0,42.66223285259268,1734140.33,3948769.15,3466546.95,482222.2,511983.44,57529,0,0
0,15.0,0,0,42.717745914639686,1737266.14,3948769.15,3471927.01,476842.14,501979.32,41304,0,0
0,30.0,0,0,42.820620997201054,1741585.03,3948769.15,3480423.4,468345.76,486334.85,21786,0,0
